S. No;Quotation;Author;;;;;;;;;;;;;;;;;;
1343; A year ago today. It has happened. In two days I have already managed to introduce that terrible word into the course of conversation. There is an enormous difference when a warship and a nutshell put out to sea, and the difference is externally visible. It is different with words. The same word can indicate an even greater difference, and yet the word is the same. The word has not come up between us in a pathos-filled way, but it comes up again and again, mixed in among various things in order to clarify the mood.;Søren Kierkegaard,;;;;;;;;;;;;;;;;;;
1344;Lessing was indeed wrong in saying that the swiftest thing of all, swifter than the sound and light, is the transition from good to evil, for even swifter is das Zugleich, the all-at-once. Indeed, transition itself is a time, that that which is all-at-once is swifter than any transition. Transition is still a qualification of time, but the speed with which that which once was and never is forgotten is present, although it was indeed present: that speed is the swiftest of all, for it is so swift that its being absent is, of course, but an illusion.;Søren Kierkegaard,;;;;;;;;;;;;;;;;;;
1345;"Here the diary ends for the time being. It deals with nothing, yet not in the sense of Louis XVIâ€™s diary, the alternating contents of which are supposed to have been: on one day, went hunting; the second day, rein [nothing]; the third day, went hunting. It contains nothing, but if, as Cicero says, the easiest letters deal with nothing, then sometimes it is the hardest life that deals with nothing.";Søren Kierkegaard,;;;;;;;;;;;;;;;;;;
1346;It is a contradiction to be willing to sacrifice oneâ€™s life for a finite goal, and in the eyes of poetry such behavior is comic, akin to dancing oneself to death or wanting to walk with spurs when one is bowlegged and falls down on them and is killed-rather than quit wearing spurs. Oh, what an enticing task for a comic poet, but without passion, no poet, no comic poet either.;Søren Kierkegaard,;;;;;;;;;;;;;;;;;;
1347;Does it help one to believe in what is great by knowing it is historical?;Søren Kierkegaard,;;;;;;;;;;;;;;;;;;
1348;To Repent of Nothing Is the Highest Wisdom-the Forgiveness of Sin. Hand in hand with such negative principles as: Admire nothing, expect nothing, etc. is the negative principle: Repent of nothing or, to use other words that perhaps are not as ethically disturbing: Regret nothing. The real secret of this wisdom is that an esthetic principle has been embellished and given the appearance of an ethical principle. Understood esthetically from an ethical position this is entirely true, for the free spirit essentially ought not to esteem the whole range of the esthetic so highly that he regrets something. For example, if someone has become poor, then it is correct to say: To regret nothing is the highest wisdom-that is, act by virtue of the ethical. Then the principle means: continually to cut down the bridge of the past behind one in order continually to be able to act at the moment.;Søren Kierkegaard,;;;;;;;;;;;;;;;;;;
1349;But I must ask you Socrates, what do you suppose is the upshot of all this? As I said a little while ago, it is the scrapings and shavings of argument, cut up into little bits.;Søren Kierkegaard,;;;;;;;;;;;;;;;;;;
1350;Philosophical Fragments was only supposed to clothe the issue in historical costume. The issue was the difficulty. Without wanting to affront anyone, I am of the opinion that not every young graduate in theology would have been capable of presenting the issue with even the same dialectical rhythm with which it is done in the pamphlet. I am also of the opinion that not every young graduate in theology, after reading the pamphlet would be able to set it aside and then on his own to present the issue with just the same dialectical clarity with which it is elucidated in the pamphlet.;Søren Kierkegaard,;;;;;;;;;;;;;;;;;;
1351;Although an outsider, I have at least understood this much, that the only unforgivable high treason against Christianity is the single individualâ€™s taking his relation to it for granted.;Søren Kierkegaard,;;;;;;;;;;;;;;;;;;
1352;inspiration is indeed an object of faith, is qualitatively dialectical, not attainable by means of quantification;Søren Kierkegaard,;;;;;;;;;;;;;;;;;;
